,time,f,f2
556,5.5600000000000005,0.005,0.17440701126842717
557,5.57,0.004,0.17559989244108276
558,5.58,0.001,0.17676558087032834
559,5.59,-0.006999999999999999,0.17790390454925037
560,5.6000000000000005,-0.006999999999999999,0.17901469602572498
561,5.61,-0.003,0.1800977924284725
562,5.62,-0.008,0.18115303549237372
563,5.63,-0.008,0.18218027158303482
564,5.64,-0.006999999999999999,0.183179351720609
565,5.65,-0.002,0.18415013160285953
566,5.66,0.01,0.185092471627469
567,5.67,0.001,0.18600623691358775
568,5.68,-0.009000000000000001,0.1868912973226164
569,5.69,0.0,0.1877475274782251
570,5.7,0.003,0.18857480678559702
571,5.71,-0.002,0.18937301944990562
572,5.72,-0.003,0.19014205449400876
573,5.73,-0.002,0.190881805775369
574,5.74,0.002,0.19159217200219114
575,5.75,0.006999999999999999,0.19227305674877174
576,5.76,0.009000000000000001,0.1929243684700698
577,5.7700000000000005,0.013000000000000001,0.19354602051548142
578,5.78,0.003,0.19413793114182826
579,5.79,-0.005,0.19470002352554994
580,5.8,-0.004,0.19523222577410335
581,5.8100000000000005,-0.006999999999999999,0.19573447093656615
582,5.82,-0.006999999999999999,0.19620669701343896
583,5.83,-0.009000000000000001,0.1966488469656511
584,5.84,-0.015,0.1970608687227629
585,5.8500000000000005,-0.019,0.19744271519036605
586,5.86,-0.013999999999999999,0.197794344256682
587,5.87,-0.005,0.19811571879835213
588,5.88,-0.002,0.1984068066854262
589,5.89,0.005,0.19866758078554253
590,5.9,0.008,0.1988980189673008
591,5.91,0.004,0.1990981041028283
592,5.92,-0.006,0.19926782406953913
593,5.93,-0.016,0.19940717175108308
594,5.94,-0.013000000000000001,0.1995161450374884
595,5.95,-0.013000000000000001,0.19959474682449518
596,5.96,-0.013000000000000001,0.19964298501208086
597,5.97,-0.006999999999999999,0.19966087250217712
598,5.98,-0.006999999999999999,0.19964842719558232
599,5.99,-0.006,0.19960567198806178
600,6.0,-0.012,0.1995326347656472
601,6.01,-0.011000000000000001,0.19942934839912696
